| Section                          | Keep                                     | Change / Add                                                                                                                                                                                  |
| -------------------------------- | ---------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Header                           | “Last updated” timestamp                 | Update to the current date each time you push a change.                                                                                                                                       |
| **2. Service Description**       | ✔ emphasises “independent practitioners” | • Add line: *“HerHealth Hub is registered in England & Wales, No. XXXXXXX, trading as Sunscapes Media Ltd.”* (or your actual entity).                                                         |
| **3. User Responsibilities**     | ✔ covers honesty, payments, conduct      | • Add: *“Users must be 18 years or older (or have guardian present).”*                                                                                                                        |
| **4. Payment & Fees**            | ✔ £55 fee, secure Stripe                 | • Our slots are **20 min**, not 30 min – adjust wording.<br>• Spell out cancellation window: “Cancellations ≥24 h before start = full refund; <24 h = no refund.”                             |
| **5. Medical Disclaimer**        | ✔ emergency disclaimer                   | • Add: “Clinicians may issue private prescriptions at their own discretion; HerHealth Hub is not a pharmacy and does not dispense medication.”                                                |
| **6. Privacy**                   | ✔ references policy                      | —                                                                                                                                                                                             |
| **7. Platform Availability**     | ✔ maintenance clause                     | —                                                                                                                                                                                             |
| **8. Limitation of Liability**   | ✔ limits scope                           | • Add governing law: “These Terms are governed by the laws of England and Wales, and disputes are subject to the exclusive jurisdiction of its courts.”                                       |
| **New § Indemnity Confirmation** | —                                        | Insert a short clause (mirrors onboarding checkbox):<br> *“All clinicians confirm that their professional indemnity insurance covers private tele-consultations performed via the platform.”* |
